,Temporal Dark Patterns,Monetary Dark Patterns,Social Dark Patterns,Psychological Dark Patterns,Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
1,This game has 7 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 11 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 7 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,7,11,7,7,0,0,0,0
2,This game has 27 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 44 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 26 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 28 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,27,44,26,28,1,0,2,0
3,This game has 12 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 19 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 11 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 10 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,12,19,11,10,0,0,1,0
4,This game has 7 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 8 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 4 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,7,8,5,4,0,0,0,0
5,This game has 22 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 33 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 21 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 21 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,22,33,21,21,0,0,0,0
6,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 10 reported Monetary Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 6 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,10,6,7,1,1,1,0
7,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 9 reported Monetary Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 7 reported Social Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,9,7,7,1,2,0,0
8,This game has 6 reported Temporal Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 11 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 7 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,6,11,5,7,1,0,2,0
9,This game has 4 reported Temporal Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 11 reported Monetary Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,This game has 5 reported Social Dark Patterns. There are 1 votes indicating the absence of a dark pattern.,This game has 6 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,4,11,5,6,0,0,1,0
10,This game has 19 reported Temporal Dark Patterns. There are 2 votes indicating the absence of a dark pattern.,This game has 27 reported Monetary Dark Patterns. There are 4 votes indicating the absence of a dark pattern.,This game has 15 reported Social Dark Patterns. There are 3 votes indicating the absence of a dark pattern.,This game has 19 reported Psychological Dark Patterns. There are 0 votes indicating the absence of a dark pattern.,19,27,15,19,2,4,3,0
