Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
7,11,7,7,0,0,0,0
27,44,26,28,1,0,2,0
12,19,11,10,0,0,1,0
7,8,5,4,0,0,0,0
22,33,21,21,0,0,0,0
6,10,6,7,1,1,1,0
6,9,7,7,1,2,0,0
6,11,5,7,1,0,2,0
4,11,5,6,0,0,1,0
19,27,15,19,2,4,3,0
6,10,4,6,1,1,0,0
18,26,15,19,2,4,2,1
110,158,110,105,18,25,7,7
31,48,28,28,4,6,7,6
12,15,9,14,2,3,2,0
6,8,7,6,1,3,0,1
12,18,11,13,2,4,3,1
11,20,9,14,3,1,5,0
5,10,4,6,2,0,2,0
52,85,51,55,11,14,12,8
3,6,5,5,1,0,0,0
797,1081,742,754,169,290,195,52
12,17,12,9,2,3,1,4
72,110,67,74,12,23,19,11
5,18,10,11,2,2,2,0
6,9,4,7,1,2,3,0
6,8,5,7,1,3,2,0
6,9,5,6,1,2,2,1
6,8,6,6,1,3,1,1
5,7,3,6,2,0,1,0
4,8,4,5,0,1,1,0
4,5,4,3,0,0,0,0
13,14,8,10,0,4,4,0
20,33,15,22,4,5,9,0
18,21,14,13,1,4,4,3
9,14,8,10,2,2,1,1
5,5,7,5,2,0,0,2
83,168,73,87,42,44,10,8
10,18,7,8,1,1,4,2
39,49,33,32,5,15,9,4
11,19,9,11,3,3,5,3
5,10,5,5,2,1,2,2
6,9,6,4,1,2,1,3
6,8,6,5,1,3,1,1
5,9,6,5,2,2,1,2
39,51,33,28,7,9,9,7
4,8,2,3,1,0,0,0
2,7,3,5,1,0,0,0
11,18,10,10,3,4,3,3
16,20,14,14,2,6,4,2
24,30,19,19,2,9,8,5
3,6,5,6,1,1,2,0
7,9,3,4,0,1,3,2
6,7,5,5,1,2,2,1
6,6,2,5,0,3,0,0
11,17,9,12,3,5,5,2
3,6,1,5,0,0,0,0
5,8,2,7,2,3,0,0
3,10,4,5,2,1,3,0
10,14,2,8,2,1,0,1
7,11,6,8,0,0,1,0
5,7,4,5,0,3,2,0
4,9,6,5,3,2,1,2
5,9,5,5,2,2,2,2
5,9,4,6,2,2,3,1
6,8,4,6,1,3,3,1
6,9,4,5,1,2,3,2
10,18,6,14,4,4,8,0
64,86,52,60,10,29,24,15
10,14,8,9,2,4,3,2
33,46,28,26,8,15,10,7
5,4,4,4,2,0,1,0
3,7,3,4,2,0,0,1
10,10,2,6,0,0,0,0
5,5,5,5,0,3,2,0
