Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
0,0,0,0,21,33,21,21
0,0,0,0,14,22,14,14
0,0,0,0,14,22,14,11
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,6
0,0,0,0,21,33,21,21
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,28,44,28,28
0,0,0,0,28,44,28,28
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,28,44,28,28
0,0,0,0,7,11,7,6
0,0,0,0,21,33,21,21
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,56,88,56,54
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,35,55,35,35
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,5
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,12
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,701,968,680,579
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,2
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,5
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,21,33,21,21
0,0,0,0,14,22,14,10
0,0,0,0,7,11,7,7
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,21,33,21,21
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,11
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,0,5
0,0,0,0,28,44,28,28
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,0,14,22,14,14
0,0,0,0,0,0,0,0
0,0,0,0,14,22,14,14
0,0,0,0,7,11,7,7
0,0,0,0,7,11,7,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,7,11,7,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,49,77,49,48
0,0,0,1,42,66,42,39
0,0,0,2,70,99,70,66
0,0,0,1,28,44,28,27
0,0,0,1,21,33,21,20
0,0,0,0,21,33,21,21
0,0,0,1,21,33,21,20
0,0,0,1,21,33,21,16
0,0,0,1,21,33,21,20
0,0,0,2,35,55,35,29
0,0,0,3,49,77,49,46
0,0,0,0,14,22,14,14
0,0,0,1,14,22,14,12
0,0,0,0,14,22,14,14
0,0,0,2,28,44,28,25
0,0,0,1,14,22,14,13
0,0,0,1,14,22,14,13
0,0,0,1,14,22,14,13
0,0,0,1,14,22,14,13
0,0,0,1,14,22,14,8
0,0,0,2,21,33,21,19
1,0,0,0,20,33,21,21
1,0,0,0,20,33,21,21
1,0,0,0,14,33,21,21
2,0,0,0,26,44,28,28
0,0,1,0,28,44,27,28
0,0,1,1,28,33,27,27
0,0,1,0,14,22,14,14
0,0,0,80,707,1009,587,531
0,0,0,84,612,1082,586,501
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,0,7,11,7,7
1,0,0,0,13,22,14,14
0,0,0,11,77,121,77,62
0,0,0,3,21,33,21,18
0,0,0,0,7,11,7,7
0,0,0,1,14,22,14,13
0,0,0,2,14,22,14,12
0,1,0,1,21,32,21,20
0,0,0,1,7,11,7,5
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,5,35,55,35,26
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,2,14,22,14,12
0,0,0,3,21,33,21,17
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,2,14,22,14,12
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,0,7,11,7,7
0,0,0,1,7,11,7,6
0,0,0,2,14,22,14,12
0,0,0,1,7,11,7,5
0,0,0,1,14,22,14,13
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,6
0,0,0,1,7,11,7,5
0,0,0,101,673,1152,644,552
0,0,1,0,21,33,19,18
0,2,0,1,32,48,35,31
1,0,0,0,13,22,14,10
1,0,0,0,20,33,14,21
2,0,0,0,12,33,21,21
0,0,0,0,5,11,7,6
0,0,0,98,699,908,702,534
0,0,0,108,763,1039,653,592
0,0,0,0,7,11,0,7
0,0,0,1,0,11,7,5
0,0,0,0,7,11,3,0
0,0,0,3,21,33,21,18
1,0,3,10,84,143,68,79
2,0,0,2,26,44,28,26
0,0,0,0,7,0,0,0
0,2,0,0,14,19,14,14
1,0,0,0,13,22,14,13
0,0,0,2,14,22,14,12
0,0,0,3,14,22,14,11
0,0,0,3,14,22,14,11
2,0,0,0,12,22,14,13
0,0,1,0,7,11,7,7
0,0,0,2,7,11,7,6
1,0,0,1,13,22,7,13
1,0,0,3,20,33,21,18
0,0,0,5,21,33,21,16
2,0,0,3,25,44,28,25
0,1,0,2,14,22,14,9
0,0,0,2,7,11,7,5
0,0,0,2,7,11,7,5
1,0,0,0,6,11,7,7
0,0,0,2,7,11,7,5
0,0,0,2,7,11,7,5
0,0,0,2,7,11,7,5
0,0,1,0,14,22,13,14
0,0,1,0,7,11,6,7
1,0,0,0,6,11,7,7
1,0,0,0,6,11,7,7
1,0,0,0,6,11,7,7
0,0,0,2,7,11,7,5
0,0,0,2,7,11,7,5
0,0,0,2,7,11,7,4
0,0,0,2,7,11,7,5
1,0,0,0,5,11,7,7
0,0,0,2,7,11,7,5
1,0,0,0,6,11,7,7
0,0,0,2,7,11,7,5
0,0,0,2,7,11,7,5
1,0,0,2,13,22,14,12
1,0,0,0,6,11,7,6
0,0,0,2,7,11,7,5
1,0,0,0,6,11,7,7
0,1,0,0,7,10,7,7
0,0,1,0,7,11,6,7
0,0,1,2,14,22,13,11
1,0,0,0,6,11,7,7
0,1,0,0,7,10,7,7
0,0,0,2,7,11,7,5
0,0,1,0,7,11,6,7
